dataset_id,rows,normal_rows,pre_event_rows,manufacturer_count,substation_count,system_groups,fault_groups,can_evaluate
all_systems__all_faults__report_pre_7d,112,65,47,2,59,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage__all_faults__report_pre_7d,61,34,27,2,31,dhw_storage,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage_return__all_faults__report_pre_7d,22,12,10,2,11,dhw_storage_return,control_controller|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
system_heating_common_only__all_faults__report_pre_7d,26,16,10,2,15,heating_common_only,flow_air_strainer|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
all_systems__fault_control_controller__report_pre_7d,75,65,10,2,46,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller,True
all_systems__fault_flow_air_strainer__report_pre_7d,68,65,3,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,flow_air_strainer,False
all_systems__fault_leakage_water_loss__report_pre_7d,74,65,9,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,leakage_water_loss,True
all_systems__fault_pressure_regulator__report_pre_7d,72,65,7,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pressure_regulator,True
all_systems__fault_pump_failure__report_pre_7d,75,65,10,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pump_failure,True
all_systems__fault_valve_actuator__report_pre_7d,72,65,7,2,45,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,valve_actuator,True
all_systems__all_faults__report_pre_5d,113,65,48,2,59,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage__all_faults__report_pre_5d,61,34,27,2,31,dhw_storage,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage_return__all_faults__report_pre_5d,22,12,10,2,11,dhw_storage_return,control_controller|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
system_heating_common_only__all_faults__report_pre_5d,27,16,11,2,15,heating_common_only,flow_air_strainer|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
all_systems__fault_control_controller__report_pre_5d,75,65,10,2,46,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller,True
all_systems__fault_flow_air_strainer__report_pre_5d,68,65,3,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,flow_air_strainer,False
all_systems__fault_leakage_water_loss__report_pre_5d,74,65,9,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,leakage_water_loss,True
all_systems__fault_pressure_regulator__report_pre_5d,73,65,8,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pressure_regulator,True
all_systems__fault_pump_failure__report_pre_5d,75,65,10,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pump_failure,True
all_systems__fault_valve_actuator__report_pre_5d,72,65,7,2,45,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,valve_actuator,True
all_systems__all_faults__report_pre_3d,113,65,48,2,59,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage__all_faults__report_pre_3d,61,34,27,2,31,dhw_storage,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage_return__all_faults__report_pre_3d,22,12,10,2,11,dhw_storage_return,control_controller|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
system_heating_common_only__all_faults__report_pre_3d,27,16,11,2,15,heating_common_only,flow_air_strainer|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
all_systems__fault_control_controller__report_pre_3d,75,65,10,2,46,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller,True
all_systems__fault_flow_air_strainer__report_pre_3d,68,65,3,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,flow_air_strainer,False
all_systems__fault_leakage_water_loss__report_pre_3d,74,65,9,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,leakage_water_loss,True
all_systems__fault_pressure_regulator__report_pre_3d,73,65,8,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pressure_regulator,True
all_systems__fault_pump_failure__report_pre_3d,75,65,10,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pump_failure,True
all_systems__fault_valve_actuator__report_pre_3d,72,65,7,2,45,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,valve_actuator,True
all_systems__all_faults__report_pre_1d,113,65,48,2,59,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage__all_faults__report_pre_1d,61,34,27,2,31,dhw_storage,control_controller|flow_air_strainer|leakage_water_loss|other_review|pressure_regulator|pump_failure|valve_actuator,True
system_dhw_storage_return__all_faults__report_pre_1d,22,12,10,2,11,dhw_storage_return,control_controller|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
system_heating_common_only__all_faults__report_pre_1d,27,16,11,2,15,heating_common_only,flow_air_strainer|leakage_water_loss|pressure_regulator|pump_failure|valve_actuator,True
all_systems__fault_control_controller__report_pre_1d,75,65,10,2,46,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,control_controller,True
all_systems__fault_flow_air_strainer__report_pre_1d,68,65,3,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,flow_air_strainer,False
all_systems__fault_leakage_water_loss__report_pre_1d,74,65,9,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,leakage_water_loss,True
all_systems__fault_pressure_regulator__report_pre_1d,73,65,8,2,43,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pressure_regulator,True
all_systems__fault_pump_failure__report_pre_1d,75,65,10,2,47,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,pump_failure,True
all_systems__fault_valve_actuator__report_pre_1d,72,65,7,2,45,dhw_return|dhw_storage|dhw_storage_return|dhw_supply|heating_common_only,valve_actuator,True
