dataset_id,model,threshold,scope,fault_scope,window_policy,balanced_accuracy,recall,normal_fpr,candidate_pass,decision
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.4,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.5,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.6,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.4,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.5,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.6,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.4,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.5,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.6,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.4,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.5,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.6,all_systems,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,random_forest_depth3,0.5,all_systems,fault_control_controller,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.4,all_systems,fault_leakage_water_loss,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.5,all_systems,fault_leakage_water_loss,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,random_forest_depth3,0.4,all_systems,fault_pressure_regulator,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_pressure_regulator__report_pre_1d,random_forest_depth3,0.5,all_systems,fault_pressure_regulator,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,random_forest_depth3,0.4,all_systems,fault_pump_failure,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_pump_failure__report_pre_1d,random_forest_depth3,0.5,all_systems,fault_pump_failure,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,random_forest_depth3,0.5,system_dhw_storage,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,random_forest_depth3,0.6,system_dhw_storage,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,random_forest_depth3,0.4,system_heating_common_only,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,random_forest_depth3,0.5,system_heating_common_only,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
system_heating_common_only__all_faults__report_pre_1d,random_forest_depth3,0.6,system_heating_common_only,all_faults,report_pre_1d,1.0,1.0,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,random_forest_depth3,0.4,all_systems,fault_control_controller,report_pre_1d,0.9923076923076923,1.0,0.015384615384615385,True,window_model_candidate
all_systems__fault_valve_actuator__report_pre_1d,random_forest_depth3,0.4,all_systems,fault_valve_actuator,report_pre_1d,0.9923076923076923,1.0,0.015384615384615385,True,window_model_candidate
system_dhw_storage_return__all_faults__report_pre_1d,random_forest_depth3,0.5,system_dhw_storage_return,all_faults,report_pre_1d,0.9583333333333333,1.0,0.08333333333333333,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,random_forest_depth3,0.4,system_dhw_storage,all_faults,report_pre_1d,0.9558823529411764,1.0,0.08823529411764706,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,xgboost_depth3,0.5,system_dhw_storage,all_faults,report_pre_1d,0.9520697167755992,0.9629629629629629,0.058823529411764705,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.4,all_systems,fault_control_controller,report_pre_1d,0.95,0.9,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.5,all_systems,fault_control_controller,report_pre_1d,0.95,0.9,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.6,all_systems,fault_control_controller,report_pre_1d,0.95,0.9,0.0,True,window_model_candidate
