dataset_id,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
all_systems__all_faults__report_pre_1d,dummy_most_frequent,0.4,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_1d,dummy_most_frequent,0.5,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_1d,dummy_most_frequent,0.6,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.4,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.5,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,hist_gradient_boosting,0.6,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.4,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.5,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,lightgbm_depth3,0.6,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,logistic_balanced,0.4,113,65,48,0.8560897435897437,0.7419354838709677,0.9583333333333334,0.8363636363636363,0.24615384615384617,49,16,2,46
all_systems__all_faults__report_pre_1d,logistic_balanced,0.5,113,65,48,0.86875,0.7758620689655172,0.9375,0.8490566037735849,0.2,52,13,3,45
all_systems__all_faults__report_pre_1d,logistic_balanced,0.6,113,65,48,0.8320512820512821,0.7843137254901961,0.8333333333333334,0.8080808080808081,0.16923076923076924,54,11,8,40
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.4,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.5,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,random_forest_depth3,0.6,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.4,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.5,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_1d,xgboost_depth3,0.6,113,65,48,1.0,1.0,1.0,1.0,0.0,65,0,0,48
all_systems__all_faults__report_pre_3d,dummy_most_frequent,0.4,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_3d,dummy_most_frequent,0.5,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_3d,dummy_most_frequent,0.6,113,65,48,0.5,0.0,0.0,0.0,0.0,65,0,48,0
all_systems__all_faults__report_pre_3d,hist_gradient_boosting,0.4,113,65,48,0.86875,0.7758620689655172,0.9375,0.8490566037735849,0.2,52,13,3,45
all_systems__all_faults__report_pre_3d,hist_gradient_boosting,0.5,113,65,48,0.8419871794871795,0.8444444444444444,0.7916666666666666,0.8172043010752689,0.1076923076923077,58,7,10,38
