system_capability_group,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
dhw_storage,dummy_most_frequent,0.4,61,34,27,0.5,0.0,0.0,0.0,0.0,34,0,27,0
dhw_storage,dummy_most_frequent,0.5,61,34,27,0.5,0.0,0.0,0.0,0.0,34,0,27,0
dhw_storage,dummy_most_frequent,0.6,61,34,27,0.5,0.0,0.0,0.0,0.0,34,0,27,0
dhw_storage,logistic_balanced,0.4,61,34,27,0.789760348583878,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.23529411764705882,26,8,5,22
dhw_storage,logistic_balanced,0.5,61,34,27,0.8485838779956427,0.8461538461538461,0.8148148148148148,0.8301886792452831,0.11764705882352941,30,4,5,22
dhw_storage,logistic_balanced,0.6,61,34,27,0.8371459694989107,0.95,0.7037037037037037,0.8085106382978723,0.029411764705882353,33,1,8,19
dhw_storage,random_forest_depth3,0.4,61,34,27,0.738562091503268,0.631578947368421,0.8888888888888888,0.7384615384615385,0.4117647058823529,20,14,3,24
dhw_storage,random_forest_depth3,0.5,61,34,27,0.7674291938997821,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.20588235294117646,27,7,7,20
dhw_storage,random_forest_depth3,0.6,61,34,27,0.7080610021786492,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.17647058823529413,28,6,11,16
dhw_storage,extra_trees_depth3,0.4,61,34,27,0.6470588235294118,0.5294117647058824,1.0,0.6923076923076923,0.7058823529411765,10,24,0,27
dhw_storage,extra_trees_depth3,0.5,61,34,27,0.8485838779956427,0.8461538461538461,0.8148148148148148,0.8301886792452831,0.11764705882352941,30,4,5,22
dhw_storage,extra_trees_depth3,0.6,61,34,27,0.5778867102396514,0.8333333333333334,0.18518518518518517,0.30303030303030304,0.029411764705882353,33,1,22,5
dhw_storage,hist_gradient_boosting,0.4,61,34,27,0.7935729847494554,0.71875,0.8518518518518519,0.7796610169491526,0.2647058823529412,25,9,4,23
dhw_storage,hist_gradient_boosting,0.5,61,34,27,0.7156862745098038,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.23529411764705882,26,8,9,18
dhw_storage,hist_gradient_boosting,0.6,61,34,27,0.7265795206971677,0.7391304347826086,0.6296296296296297,0.68,0.17647058823529413,28,6,10,17
dhw_storage,lightgbm_depth3,0.4,61,34,27,0.7527233115468409,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.23529411764705882,26,8,7,20
dhw_storage,lightgbm_depth3,0.5,61,34,27,0.7674291938997821,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.20588235294117646,27,7,7,20
dhw_storage,lightgbm_depth3,0.6,61,34,27,0.7303921568627451,0.72,0.6666666666666666,0.6923076923076923,0.20588235294117646,27,7,9,18
dhw_storage,xgboost_depth3,0.4,61,34,27,0.7456427015250544,0.6666666666666666,0.8148148148148148,0.7333333333333333,0.3235294117647059,23,11,5,22
dhw_storage,xgboost_depth3,0.5,61,34,27,0.7750544662309369,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.2647058823529412,25,9,5,22
dhw_storage,xgboost_depth3,0.6,61,34,27,0.7821350762527233,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.17647058823529413,28,6,7,20
