strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M1_CV,common13,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,common13,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,common13,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,common13,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,common13,dummy_most_frequent,0.4,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,common13,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,common13,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,common13,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,common13,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,common13,dummy_most_frequent,0.5,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,common13,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,M1_to_M2,common13,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_CV,common13,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
system_specific_threshold,M2_to_M1,common13,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
system_specific_threshold,Pooled_M1_M2_group_CV,common13,dummy_most_frequent,0.6,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
system_specific_threshold,M1_CV,common13,extra_trees_depth3,0.4,61,35,26,0.7362637362637363,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.14285714285714285,30,5,10,16
system_specific_threshold,M1_to_M2,common13,extra_trees_depth3,0.4,51,30,21,0.6857142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.2,24,6,9,12
system_specific_threshold,M2_CV,common13,extra_trees_depth3,0.4,51,30,21,0.8785714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1,27,3,3,18
system_specific_threshold,M2_to_M1,common13,extra_trees_depth3,0.4,61,35,26,0.6071428571428572,0.5652173913043478,0.5,0.5306122448979592,0.2857142857142857,25,10,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,extra_trees_depth3,0.4,112,65,47,0.7788870703764321,0.8,0.6808510638297872,0.735632183908046,0.12307692307692308,57,8,15,32
system_specific_threshold,M1_CV,common13,extra_trees_depth3,0.5,61,35,26,0.7505494505494505,0.8,0.6153846153846154,0.6956521739130435,0.11428571428571428,31,4,10,16
system_specific_threshold,M1_to_M2,common13,extra_trees_depth3,0.5,51,30,21,0.7023809523809523,0.7058823529411765,0.5714285714285714,0.631578947368421,0.16666666666666666,25,5,9,12
system_specific_threshold,M2_CV,common13,extra_trees_depth3,0.5,51,30,21,0.8952380952380952,0.9,0.8571428571428571,0.8780487804878049,0.06666666666666667,28,2,3,18
system_specific_threshold,M2_to_M1,common13,extra_trees_depth3,0.5,61,35,26,0.6214285714285714,0.5909090909090909,0.5,0.5416666666666666,0.2571428571428571,26,9,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,extra_trees_depth3,0.5,112,65,47,0.7942716857610475,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.09230769230769231,59,6,15,32
system_specific_threshold,M1_CV,common13,extra_trees_depth3,0.6,61,35,26,0.7505494505494505,0.8,0.6153846153846154,0.6956521739130435,0.11428571428571428,31,4,10,16
system_specific_threshold,M1_to_M2,common13,extra_trees_depth3,0.6,51,30,21,0.7023809523809523,0.7058823529411765,0.5714285714285714,0.631578947368421,0.16666666666666666,25,5,9,12
system_specific_threshold,M2_CV,common13,extra_trees_depth3,0.6,51,30,21,0.8952380952380952,0.9,0.8571428571428571,0.8780487804878049,0.06666666666666667,28,2,3,18
system_specific_threshold,M2_to_M1,common13,extra_trees_depth3,0.6,61,35,26,0.6214285714285714,0.5909090909090909,0.5,0.5416666666666666,0.2571428571428571,26,9,13,13
system_specific_threshold,Pooled_M1_M2_group_CV,common13,extra_trees_depth3,0.6,112,65,47,0.7942716857610475,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.09230769230769231,59,6,15,32
