dataset,kind,model,detect,false_alarm
초기 리치(115),이상탐지,IsolationForest,0.393,0.314
초기 리치(115),이상탐지,LOF,0.643,0.371
초기 리치(115),이상탐지,OneClassSVM,0.571,0.543
초기 리치(115),지도,NaiveBayes,0.5,0.229
초기 리치(115),지도,LightGBM,0.429,0.171
초기 리치(115),하이브리드,perSub-LOF + NB,0.679,0.314
현재 lean(85),이상탐지,IsolationForest,0.286,0.143
현재 lean(85),이상탐지,LOF,0.607,0.314
현재 lean(85),이상탐지,OneClassSVM,0.607,0.486
현재 lean(85),지도,NaiveBayes,0.5,0.171
현재 lean(85),지도,LightGBM,0.214,0.114
현재 lean(85),하이브리드,perSub-LOF + NB,0.679,0.257
