owner,model_file,artifact_path,task_family,eligibility,reason,required_feature_count,metadata_required_feature_count,model_feature_count,missing_feature_count,missing_feature_examples,extra_dataset_feature_count,threshold_used,threshold_source
hsj,07_random_forest_baseline.joblib,01_압축해제\hsj\share_mvp\models\07_random_forest_baseline.joblib,pre_event_candidate,eligible_regenerated_raw_7d_features,features_regenerated_from_predist_operational_windows,354,0,354,274,feature_row_count; feature_sensor_count; outdoor_temperature.1__delta; outdoor_temperature.1__first; outdoor_temperature.1__last; outdoor_temperature.1__max; outdoor_temperature.1__mean; outdoor_temperature.1__min; outdoor_temperature.1__missing_rate; outdoor_temperature.1__slope; outdoor_temperature.1__std; outdoor_temperature__delta; outdoor_temperature__first; outdoor_temperature__last; outdoor_temperature__slope; p_dhw_control_valve_position__delta; p_dhw_control_valve_position__first; p_dhw_control_valve_position__last; p_dhw_control_valve_position__max; p_dhw_control_valve_position__mean,82,0.5,default_0.5
hsj,08_isolation_forest.joblib,01_압축해제\hsj\share_mvp\models\08_isolation_forest.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,354,0,354,274,feature_row_count; feature_sensor_count; outdoor_temperature.1__delta; outdoor_temperature.1__first; outdoor_temperature.1__last; outdoor_temperature.1__max; outdoor_temperature.1__mean; outdoor_temperature.1__min; outdoor_temperature.1__missing_rate; outdoor_temperature.1__slope; outdoor_temperature.1__std; outdoor_temperature__delta; outdoor_temperature__first; outdoor_temperature__last; outdoor_temperature__slope; p_dhw_control_valve_position__delta; p_dhw_control_valve_position__first; p_dhw_control_valve_position__last; p_dhw_control_valve_position__max; p_dhw_control_valve_position__mean,82,0.5,default_0.5
hsj,09_lightgbm_model.joblib,01_압축해제\hsj\share_mvp\models\09_lightgbm_model.joblib,pre_event_candidate,eligible_regenerated_raw_7d_features,features_regenerated_from_predist_operational_windows,354,0,354,274,feature_row_count; feature_sensor_count; outdoor_temperature.1__delta; outdoor_temperature.1__first; outdoor_temperature.1__last; outdoor_temperature.1__max; outdoor_temperature.1__mean; outdoor_temperature.1__min; outdoor_temperature.1__missing_rate; outdoor_temperature.1__slope; outdoor_temperature.1__std; outdoor_temperature__delta; outdoor_temperature__first; outdoor_temperature__last; outdoor_temperature__slope; p_dhw_control_valve_position__delta; p_dhw_control_valve_position__first; p_dhw_control_valve_position__last; p_dhw_control_valve_position__max; p_dhw_control_valve_position__mean,82,0.5,model_object
osj,isolation_forest.joblib,01_압축해제\osj\model_handoff_osj\anomaly\isolation_forest.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,195,0,128,configuration_type__is__missing; configuration_type__is__sh; configuration_type__is__sh_dhw; configuration_type__is__sh_dhw_with_sub_circuits; configuration_type__is__sh_with_buffer_tank; configuration_type__is__sh_with_sub_circuits; day_of_week; day_of_year; days_since_last_any_event; days_since_last_task_event; dhw_supply_temperature_gap__last; dhw_supply_temperature_gap__max_abs; dhw_supply_temperature_gap__mean; dow_cos; dow_sin; doy_cos; doy_sin; extreme_change_count; has_buffer_tank; has_dhw,95,0.99,threshold_quantile
osj,mahalanobis_ledoitwolf.joblib,01_압축해제\osj\model_handoff_osj\anomaly\mahalanobis_ledoitwolf.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,195,0,128,configuration_type__is__missing; configuration_type__is__sh; configuration_type__is__sh_dhw; configuration_type__is__sh_dhw_with_sub_circuits; configuration_type__is__sh_with_buffer_tank; configuration_type__is__sh_with_sub_circuits; day_of_week; day_of_year; days_since_last_any_event; days_since_last_task_event; dhw_supply_temperature_gap__last; dhw_supply_temperature_gap__max_abs; dhw_supply_temperature_gap__mean; dow_cos; dow_sin; doy_cos; doy_sin; extreme_change_count; has_buffer_tank; has_dhw,95,0.99,threshold_quantile
osj,multi_window_raw_12h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_12h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,43,131,131,raw_12h_dhw_supply_temperature_gap__delta; raw_12h_dhw_supply_temperature_gap__last; raw_12h_dhw_supply_temperature_gap__max; raw_12h_dhw_supply_temperature_gap__mean; raw_12h_dhw_supply_temperature_gap__min; raw_12h_dhw_supply_temperature_gap__missing_rate; raw_12h_dhw_supply_temperature_gap__std; raw_12h_dow_cos; raw_12h_dow_sin; raw_12h_hc1_supply_temperature_gap__delta; raw_12h_hc1_supply_temperature_gap__last; raw_12h_hc1_supply_temperature_gap__max; raw_12h_hc1_supply_temperature_gap__mean; raw_12h_hc1_supply_temperature_gap__min; raw_12h_hc1_supply_temperature_gap__missing_rate; raw_12h_hc1_supply_temperature_gap__std; raw_12h_hour_cos; raw_12h_hour_sin; raw_12h_missing_rate; raw_12h_network_temperature_gap__delta,162,0.99,threshold_quantile
osj,multi_window_raw_1h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_1h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,43,131,131,raw_1h_dhw_supply_temperature_gap__delta; raw_1h_dhw_supply_temperature_gap__last; raw_1h_dhw_supply_temperature_gap__max; raw_1h_dhw_supply_temperature_gap__mean; raw_1h_dhw_supply_temperature_gap__min; raw_1h_dhw_supply_temperature_gap__missing_rate; raw_1h_dhw_supply_temperature_gap__std; raw_1h_dow_cos; raw_1h_dow_sin; raw_1h_hc1_supply_temperature_gap__delta; raw_1h_hc1_supply_temperature_gap__last; raw_1h_hc1_supply_temperature_gap__max; raw_1h_hc1_supply_temperature_gap__mean; raw_1h_hc1_supply_temperature_gap__min; raw_1h_hc1_supply_temperature_gap__missing_rate; raw_1h_hc1_supply_temperature_gap__std; raw_1h_hour_cos; raw_1h_hour_sin; raw_1h_missing_rate; raw_1h_network_temperature_gap__delta,162,0.99,threshold_quantile
osj,multi_window_raw_3h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_3h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,43,131,131,raw_3h_dhw_supply_temperature_gap__delta; raw_3h_dhw_supply_temperature_gap__last; raw_3h_dhw_supply_temperature_gap__max; raw_3h_dhw_supply_temperature_gap__mean; raw_3h_dhw_supply_temperature_gap__min; raw_3h_dhw_supply_temperature_gap__missing_rate; raw_3h_dhw_supply_temperature_gap__std; raw_3h_dow_cos; raw_3h_dow_sin; raw_3h_hc1_supply_temperature_gap__delta; raw_3h_hc1_supply_temperature_gap__last; raw_3h_hc1_supply_temperature_gap__max; raw_3h_hc1_supply_temperature_gap__mean; raw_3h_hc1_supply_temperature_gap__min; raw_3h_hc1_supply_temperature_gap__missing_rate; raw_3h_hc1_supply_temperature_gap__std; raw_3h_hour_cos; raw_3h_hour_sin; raw_3h_missing_rate; raw_3h_network_temperature_gap__delta,162,0.99,threshold_quantile
osj,standard_scaler.joblib,01_압축해제\osj\model_handoff_osj\anomaly\standard_scaler.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,195,0,128,configuration_type__is__missing; configuration_type__is__sh; configuration_type__is__sh_dhw; configuration_type__is__sh_dhw_with_sub_circuits; configuration_type__is__sh_with_buffer_tank; configuration_type__is__sh_with_sub_circuits; day_of_week; day_of_year; days_since_last_any_event; days_since_last_task_event; dhw_supply_temperature_gap__last; dhw_supply_temperature_gap__max_abs; dhw_supply_temperature_gap__mean; dow_cos; dow_sin; doy_cos; doy_sin; extreme_change_count; has_buffer_tank; has_dhw,95,0.99,threshold_quantile
osj,leadtime_model_best.joblib,01_압축해제\osj\model_handoff_osj\leadtime\leadtime_model_best.joblib,leadtime,excluded_task_family,target_mismatch:leadtime,454,454,454,393,anomaly_consensus_count; anomaly_criticality; anomaly_ensemble_score; anomaly_ensemble_score__delta1; anomaly_ensemble_score__lag1; anomaly_ensemble_score__lag2; anomaly_ensemble_score__roll3_mean; anomaly_event_label; anomaly_score; anomaly_score__delta1; anomaly_score__lag1; anomaly_score__lag2; anomaly_score__roll3_mean; configuration_code; configuration_type__is__missing; configuration_type__is__sh; configuration_type__is__sh_dhw; configuration_type__is__sh_dhw_with_sub_circuits; configuration_type__is__sh_with_buffer_tank; configuration_type__is__sh_with_sub_circuits,101,0.5,default_0.5
