"Status","Title","File","SizeKB","Url"
"OK","[별표1] 열사용시설기계실 P& ID","01__별표1__열사용시설기계실_P&_ID.pdf","648","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=4ac0ab5e583943a29461d12851d13725&fileSn=1&bbsId="
"OK","[별표4] 2차측배관 설계압력손실 선도","02__별표4__2차측배관_설계압력손실_선도.pdf","1267.5","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=70fdd2528b594ae6a0efdf26cb6b9153&fileSn=1&bbsId="
"OK","[별표5] 열량계유량부(FLANGE)규격","03__별표5__열량계유량부(FLANGE)규격.pdf","216.7","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=2ad27ea0cd894a1ca80d43903b3d8c6f&fileSn=1&bbsId="
"OK","[별표7] 계기류 설치 상세도","04__별표7__계기류_설치_상세도.pdf","182.3","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=da401109edb24b88a12e872ed70b89f2&fileSn=1&bbsId="
"OK","[별표8] 1차측 배관재 규격","05__별표8__1차측_배관재_규격.pdf","112.1","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=6cfcaa29c84f4126957bc5f96118aa64&fileSn=1&bbsId="
"OK","[별표9] 이중보온관 규격","06__별표9__이중보온관_규격.pdf","111.4","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=d50153a514024de5a2265766fb0728af&fileSn=1&bbsId="
"OK","[별표10] 1차측배관 밸브류 규격","07__별표10__1차측배관_밸브류_규격.pdf","228.9","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=66b7339c9b4a4f62b1fb42b43268c973&fileSn=1&bbsId="
"OK","[별표11] 1차측 주배관의 공기빼기배관 상세도","08__별표11__1차측_주배관의_공기빼기배관_상세도.pdf","164.5","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=1633ddfd7d894f17969b2a4b016b30d1&fileSn=1&bbsId="
"OK","[별표13] 이중보온관 노출구간 신축이음 상세도","09__별표13__이중보온관_노출구간_신축이음_상세도.pdf","181.3","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=fe55b7a6fe3145149deda7197bb738a5&fileSn=1&bbsId="
"OK","[별표14] 1차측배관 보온시공 상세도","10__별표14__1차측배관_보온시공_상세도.pdf","267.7","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=a066d9286e2b4da5aec0d2ed900cbe9b&fileSn=1&bbsId="
"OK","[별지 제3호] 열사용시설 점검신청서","11__별지_제3호__열사용시설_점검신청서.pdf","113.4","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=ee0f1986bd864ce5a3c650c59ca6c543&fileSn=1&bbsId="
"OK","[별지 제3-1호] 자가점검확인서(중간점검)","12__별지_제3-1호__자가점검확인서(중간점검).pdf","196.3","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=19d99238c65a4e62bc061640ab50e154&fileSn=1&bbsId="
"OK","[별지 제3-2호] 자가점검확인서(준공점검)","13__별지_제3-2호__자가점검확인서(준공점검).pdf","145.1","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=ca73399cc821465694d2991cf9efdf21&fileSn=1&bbsId="
"OK","[별지 제4호] 기계실 인입 매설배관 점검 List 및 인입공사 공정 사진","14__별지_제4호__기계실_인입_매설배관_점검_List_및_인입공사_공정_사진.pdf","258","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=d640936c5aae48b09f9ebe55c969d7ca&fileSn=1&bbsId="
"OK","[별지 제5호] 점검필증","15__별지_제5호__점검필증.pdf","114.5","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=eaf12451341e4affb6fb8983c14a03d7&fileSn=1&bbsId="
"OK","1. 열사용시설 설계도서 검토 기준서","16_1._열사용시설_설계도서_검토_기준서.bin","2576","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=2ee93c0ba7954651a92afa6a06324e8d&fileSn=1&bbsId="
"OK","집단에너지시설의 기술기준","17_집단에너지시설의_기술기준.pdf","1751.2","https://www.kdhc.co.kr/kdhc/cmmn/file/fileDown.do?menuNo=200275&atchFileId=36257cd6cee84d8dabdb3161e2868570&fileSn=1&bbsId="
