"relative_path","size_kb","LastWriteTime"
"01_kdhc_heat_facility\attachments_all\_downloaded_all_attachments_manifest.csv","7.2","2026-07-03 오전 9:37:57"
"01_kdhc_heat_facility\attachments_all\01_열사용시설기준.pdf","3281.6","2026-07-03 오전 9:37:39"
"01_kdhc_heat_facility\attachments_all\02_신구_조문대비표.pdf","1576.3","2026-07-03 오전 9:37:40"
"01_kdhc_heat_facility\attachments_all\03_별표1_열사용시설기계실_PID.pdf","648","2026-07-03 오전 9:37:41"
"01_kdhc_heat_facility\attachments_all\04_별표2_건물의_용도_분류기준.pdf","114.1","2026-07-03 오전 9:37:41"
"01_kdhc_heat_facility\attachments_all\05_별표3_콤팩트설비유니트_PID.pdf","345.2","2026-07-03 오전 9:37:42"
"01_kdhc_heat_facility\attachments_all\06_별표4_2차측배관_설계압력손실_선도.pdf","1267.5","2026-07-03 오전 9:37:43"
"01_kdhc_heat_facility\attachments_all\07_별표5_열량계유량부_FLANGE_규격.pdf","216.7","2026-07-03 오전 9:37:43"
"01_kdhc_heat_facility\attachments_all\08_별표6_유량부_및_감지기_연결구배관_설치_상세도.pdf","159.8","2026-07-03 오전 9:37:44"
"01_kdhc_heat_facility\attachments_all\09_별표7_계기류_설치_상세도.pdf","182.3","2026-07-03 오전 9:37:44"
"01_kdhc_heat_facility\attachments_all\10_별표8_1차측_배관재_규격.pdf","112.1","2026-07-03 오전 9:37:45"
"01_kdhc_heat_facility\attachments_all\11_별표9_이중보온관_규격.pdf","111.4","2026-07-03 오전 9:37:46"
"01_kdhc_heat_facility\attachments_all\12_별표10_1차측배관_밸브류_규격.pdf","228.9","2026-07-03 오전 9:37:47"
"01_kdhc_heat_facility\attachments_all\13_별표11_1차측_주배관_공기빼기배관_상세도.pdf","164.5","2026-07-03 오전 9:37:47"
"01_kdhc_heat_facility\attachments_all\14_별표12_순간가열급탕방식_제어회로도.pdf","558.8","2026-07-03 오전 9:37:48"
"01_kdhc_heat_facility\attachments_all\15_별표13_이중보온관_노출구간_신축이음_상세도.pdf","181.3","2026-07-03 오전 9:37:48"
"01_kdhc_heat_facility\attachments_all\16_별표14_1차측배관_보온시공_상세도.pdf","267.7","2026-07-03 오전 9:37:49"
"01_kdhc_heat_facility\attachments_all\17_별표15_용도별_세대급탕_적정_유량_및_온도.pdf","132.2","2026-07-03 오전 9:37:49"
"01_kdhc_heat_facility\attachments_all\18_별지1_열교환기설치_신고서.pdf","114.6","2026-07-03 오전 9:37:50"
"01_kdhc_heat_facility\attachments_all\19_별지2_흡수식냉동기설치신고서.pdf","128.2","2026-07-03 오전 9:37:50"
"01_kdhc_heat_facility\attachments_all\20_별지3_열사용시설_점검신청서.pdf","113.4","2026-07-03 오전 9:37:51"
"01_kdhc_heat_facility\attachments_all\21_별지3-1_자가점검확인서_중간점검.pdf","196.3","2026-07-03 오전 9:37:51"
"01_kdhc_heat_facility\attachments_all\22_별지3-2_자가점검확인서_준공점검.pdf","145.1","2026-07-03 오전 9:37:52"
"01_kdhc_heat_facility\attachments_all\23_별지4_기계실_인입_매설배관_점검_List_및_사진.pdf","258","2026-07-03 오전 9:37:52"
"01_kdhc_heat_facility\attachments_all\24_별지5_점검필증.pdf","114.5","2026-07-03 오전 9:37:53"
"01_kdhc_heat_facility\attachments_all\25_열사용시설_설계도서_검토_기준서.bin","2576","2026-07-03 오전 9:37:54"
"01_kdhc_heat_facility\attachments_all\26_공동주택_열부하계산서_양식.bin","137.5","2026-07-03 오전 9:37:55"
"01_kdhc_heat_facility\attachments_all\27_일반건물_열부하계산서_양식.bin","128.5","2026-07-03 오전 9:37:55"
"01_kdhc_heat_facility\attachments_all\28_냉난방건물_열부하계산서_양식.bin","151","2026-07-03 오전 9:37:55"
"01_kdhc_heat_facility\attachments_all\29_중온수_난방_및_냉수_냉방_열부하계산서_양식.bin","148.5","2026-07-03 오전 9:37:56"
"01_kdhc_heat_facility\attachments_all\30_집단에너지시설의_기술기준.pdf","1751.2","2026-07-03 오전 9:37:57"
"01_kdhc_heat_facility\attachments_all\31_흡수식냉동기_기술규격서.bin","155.5","2026-07-03 오전 9:37:57"
"01_kdhc_heat_facility\attachments\_downloaded_attachments_manifest.csv","4.1","2026-07-03 오전 9:36:53"
"01_kdhc_heat_facility\attachments\01__별표1__열사용시설기계실_P&_ID.pdf","648","2026-07-03 오전 9:36:41"
"01_kdhc_heat_facility\attachments\02__별표4__2차측배관_설계압력손실_선도.pdf","1267.5","2026-07-03 오전 9:36:42"
"01_kdhc_heat_facility\attachments\03__별표5__열량계유량부(FLANGE)규격.pdf","216.7","2026-07-03 오전 9:36:43"
"01_kdhc_heat_facility\attachments\04__별표7__계기류_설치_상세도.pdf","182.3","2026-07-03 오전 9:36:43"
"01_kdhc_heat_facility\attachments\05__별표8__1차측_배관재_규격.pdf","112.1","2026-07-03 오전 9:36:44"
"01_kdhc_heat_facility\attachments\06__별표9__이중보온관_규격.pdf","111.4","2026-07-03 오전 9:36:44"
"01_kdhc_heat_facility\attachments\07__별표10__1차측배관_밸브류_규격.pdf","228.9","2026-07-03 오전 9:36:45"
"01_kdhc_heat_facility\attachments\08__별표11__1차측_주배관의_공기빼기배관_상세도.pdf","164.5","2026-07-03 오전 9:36:46"
"01_kdhc_heat_facility\attachments\09__별표13__이중보온관_노출구간_신축이음_상세도.pdf","181.3","2026-07-03 오전 9:36:47"
"01_kdhc_heat_facility\attachments\10__별표14__1차측배관_보온시공_상세도.pdf","267.7","2026-07-03 오전 9:36:47"
"01_kdhc_heat_facility\attachments\11__별지_제3호__열사용시설_점검신청서.pdf","113.4","2026-07-03 오전 9:36:48"
"01_kdhc_heat_facility\attachments\12__별지_제3-1호__자가점검확인서(중간점검).pdf","196.3","2026-07-03 오전 9:36:48"
"01_kdhc_heat_facility\attachments\13__별지_제3-2호__자가점검확인서(준공점검).pdf","145.1","2026-07-03 오전 9:36:49"
"01_kdhc_heat_facility\attachments\14__별지_제4호__기계실_인입_매설배관_점검_List_및_인입공사_공정_사진.pdf","258","2026-07-03 오전 9:36:49"
"01_kdhc_heat_facility\attachments\15__별지_제5호__점검필증.pdf","114.5","2026-07-03 오전 9:36:51"
"01_kdhc_heat_facility\attachments\16_1._열사용시설_설계도서_검토_기준서.bin","2576","2026-07-03 오전 9:36:52"
"01_kdhc_heat_facility\attachments\17_집단에너지시설의_기술기준.pdf","1751.2","2026-07-03 오전 9:36:53"
"01_kdhc_heat_facility\data_go_15133151_heat_facility.html","149.1","2026-07-03 오전 9:35:33"
"01_kdhc_heat_facility\kdhc_heat_facility_standard_list.html","118.4","2026-07-03 오전 9:35:33"
"02_kdhc_responsibility\kdhc_user_responsibility_scope.html","108.4","2026-07-03 오전 9:35:34"
"03_apt_openapi\apt_basic_info_api_extract.txt","25","2026-07-03 오전 9:38:29"
"03_apt_openapi\apt_complex_list_api_extract.txt","22.6","2026-07-03 오전 9:38:29"
"03_apt_openapi\apt_maintenance_history_api_extract.txt","28.4","2026-07-03 오전 9:38:30"
"03_apt_openapi\data_go_15057332_apt_complex_list.html","183.4","2026-07-03 오전 9:35:34"
"03_apt_openapi\data_go_15058045_apt_maintenance_history.html","191.9","2026-07-03 오전 9:35:36"
"03_apt_openapi\data_go_15058453_apt_basic_info.html","186.6","2026-07-03 오전 9:35:35"
"04_weather_holiday\data_go_15012690_kasi_special_day.html","190.4","2026-07-03 오전 9:35:37"
"04_weather_holiday\data_go_15057210_kma_asos_hourly.html","222.5","2026-07-03 오전 9:35:37"
"04_weather_holiday\kasi_special_day_api_extract.txt","5.1","2026-07-03 오전 9:38:31"
"04_weather_holiday\kma_asos_hourly_api_extract.txt","8","2026-07-03 오전 9:38:31"
"05_law_rules\law_2100000196531_heat_supply_inspection_standard.html","76.4","2026-07-03 오전 9:35:38"
"05_law_rules\law_2100000227208_district_energy_technical_standard.html","76.4","2026-07-03 오전 9:35:38"
"99_manifest\api_request_templates.md","1.1","2026-07-03 오전 9:38:31"
